orthogroup,grasspea,faba,medicago,pea,composition_label,nb_pair
OG0000131,LATSA3860_EIv1.0_0443350,Vfaba.Hedin2.R1.4g098920,,,1200,1
OG0000149,LATSA3860_EIv1.0_0117030,Vfaba.Hedin2.R1.6g015440,MtrunA17_Chr4g0024711,,1230,3
OG0000356,LATSA3860_EIv1.0_0584120,Vfaba.Hedin2.R1.1g491000,,Psat1g224400,1204,3
OG0000361,LATSA3860_EIv1.0_0103880,Vfaba.Hedin2.R1.4g066840,,,1200,1
OG0000369,LATSA3860_EIv1.0_0586550,Vfaba.Hedin2.R1.1g355080,,,1200,1
OG0000446,LATSA3860_EIv1.0_0111410,Vfaba.Hedin2.R1.3g192400,,Psat6g037280,1204,3
OG0000449,LATSA3860_EIv1.0_0229450,Vfaba.Hedin2.R1.3g105280,,Psat6g169800,1204,3
OG0000630,LATSA3860_EIv1.0_0187790,Vfaba.Hedin2.R1.3g028520,,,1200,1
OG0000658,LATSA3860_EIv1.0_0411210,Vfaba.Hedin2.R1.2g263440,MtrunA17_Chr1g0179951,,1230,3
OG0000665,LATSA3860_EIv1.0_0134220,Vfaba.Hedin2.R1.1g007760,,,1200,1
OG0000742,LATSA3860_EIv1.0_0547220,Vfaba.Hedin2.R1.1g080920,,,1200,1
OG0000843,LATSA3860_EIv1.0_0011970,Vfaba.Hedin2.R1.Ung101480,,,1200,1
OG0000992,LATSA3860_EIv1.0_0382010,Vfaba.Hedin2.R1.6g079920,,,1200,1
OG0001036,LATSA3860_EIv1.0_0503250,Vfaba.Hedin2.R1.1g115560,,Psat1g098120,1204,3
OG0001072,LATSA3860_EIv1.0_0241100,Vfaba.Hedin2.R1.1g193080,,,1200,1
OG0001087,LATSA3860_EIv1.0_0445420,Vfaba.Hedin2.R1.6g044760,,,1200,1
OG0001163,LATSA3860_EIv1.0_0177220,Vfaba.Hedin2.R1.1g232080,,,1200,1
OG0001238,LATSA3860_EIv1.0_0152490,Vfaba.Hedin2.R1.3g011720,,Psat6g136120,1204,3
OG0001296,LATSA3860_EIv1.0_0561500,Vfaba.Hedin2.R1.5g072560,MtrunA17_Chr7g0249271,,1230,3
OG0001371,LATSA3860_EIv1.0_0073090,Vfaba.Hedin2.R1.3g000040,,,1200,1
