grasspea,faba,medicago,pea
LATSA3860_EIv1.0_0000150,Vfaba.Hedin2.R1.3g081080,MtrunA17_Chr1g0190551,Psat6g144720
LATSA3860_EIv1.0_0295360,Vfaba.Hedin2.R1.6g049480,MtrunA17_Chr4g0036031,Psat7g138880
LATSA3860_EIv1.0_0295530,Vfaba.Hedin2.R1.6g045840,MtrunA17_Chr4g0037471,Psat7g174760
LATSA3860_EIv1.0_0295590,Vfaba.Hedin2.R1.Ung029760,MtrunA17_Chr4g0036011,Psat7g140360
LATSA3860_EIv1.0_0439770,Vfaba.Hedin2.R1.2g054720,MtrunA17_Chr3g0104431,Psat5g161200
LATSA3860_EIv1.0_0439820,Vfaba.Hedin2.R1.2g054880,MtrunA17_Chr3g0104471,Psat5g161080
LATSA3860_EIv1.0_0439860,Vfaba.Hedin2.R1.2g055120,MtrunA17_Chr3g0104511,Psat5g160280
LATSA3860_EIv1.0_0492600,Vfaba.Hedin2.R1.6g122760,MtrunA17_Chr4g0044681,Psat7g125720
LATSA3860_EIv1.0_0492670,Vfaba.Hedin2.R1.6g122640,MtrunA17_Chr4g0044691,Psat7g122920
LATSA3860_EIv1.0_0492700,Vfaba.Hedin2.R1.6g122560,MtrunA17_Chr4g0044711,Psat7g125240
LATSA3860_EIv1.0_0492720,Vfaba.Hedin2.R1.6g122480,MtrunA17_Chr4g0044751,Psat7g125400
LATSA3860_EIv1.0_0492730,Vfaba.Hedin2.R1.6g122440,MtrunA17_Chr4g0044761,Psat7g122720
LATSA3860_EIv1.0_0492740,Vfaba.Hedin2.R1.6g122400,MtrunA17_Chr4g0044771,Psat7g122760
LATSA3860_EIv1.0_0492780,Vfaba.Hedin2.R1.6g122160,MtrunA17_Chr4g0044831,Psat7g123960
LATSA3860_EIv1.0_0492890,Vfaba.Hedin2.R1.6g121960,MtrunA17_Chr4g0044861,Psat7g124680
LATSA3860_EIv1.0_0492920,Vfaba.Hedin2.R1.6g121480,MtrunA17_Chr4g0044941,Psat7g124880
LATSA3860_EIv1.0_0492950,Vfaba.Hedin2.R1.6g121320,MtrunA17_Chr4g0044971,Psat7g125040
LATSA3860_EIv1.0_0493140,Vfaba.Hedin2.R1.6g121040,MtrunA17_Chr4g0045031,Psat7g124160
LATSA3860_EIv1.0_0493200,Vfaba.Hedin2.R1.Ung067600,MtrunA17_Chr4g0045091,Psat7g123160
LATSA3860_EIv1.0_0538720,Vfaba.Hedin2.R1.3g142480,MtrunA17_Chr1g0204861,Psat6g205400
LATSA3860_EIv1.0_0538810,Vfaba.Hedin2.R1.3g142680,MtrunA17_Chr1g0204981,Psat6g205880
LATSA3860_EIv1.0_0538990,Vfaba.Hedin2.R1.3g143200,MtrunA17_Chr1g0205081,Psat0s5069g0040
LATSA3860_EIv1.0_0539050,Vfaba.Hedin2.R1.3g143520,MtrunA17_Chr1g0205131,Psat6g206120
LATSA3860_EIv1.0_0609950,Vfaba.Hedin2.R1.3g102760,MtrunA17_Chr1g0195841,Psat6g166880
LATSA3860_EIv1.0_0610030,Vfaba.Hedin2.R1.3g102640,MtrunA17_Chr1g0195771,Psat6g166640
LATSA3860_EIv1.0_0610080,Vfaba.Hedin2.R1.3g102520,MtrunA17_Chr1g0195741,Psat6g165720
LATSA3860_EIv1.0_0610150,Vfaba.Hedin2.R1.3g102440,MtrunA17_Chr1g0195721,Psat6g165880
LATSA3860_EIv1.0_0610180,Vfaba.Hedin2.R1.3g102360,MtrunA17_Chr1g0195701,Psat6g165960
LATSA3860_EIv1.0_0610250,Vfaba.Hedin2.R1.3g102200,MtrunA17_Chr1g0195671,Psat6g165040
LATSA3860_EIv1.0_0610260,Vfaba.Hedin2.R1.3g102160,MtrunA17_Chr1g0195661,Psat6g166240
LATSA3860_EIv1.0_0000270,Vfaba.Hedin2.R1.2g242200,MtrunA17_Chr4g0010471,Psat7g232720
LATSA3860_EIv1.0_0000510,Vfaba.Hedin2.R1.5g139440,MtrunA17_Chr7g0264721,Psat3g041840
LATSA3860_EIv1.0_0000530,Vfaba.Hedin2.R1.5g140680,MtrunA17_Chr7g0264731,Psat3g041760
